Word,Meaning,Language
onooglik,Ugly,Afrikaans
Plaas,Farm,Afrikaans
   Reg,Right,Afrikaans
vrou ,Woman,Afrikaans
dier ,Animal,Afrikaans
verskil ,Difference,Afrikaans
Geld ,Money,Afrikaans
heer,Lord,Afrikaans
regering ,Government,Afrikaans
wêreld ,World,Afrikaans
miljoen ,Million,Afrikaans
skool ,School,Afrikaans
kerk ,Church,Afrikaans
naam ,Name,Afrikaans
boek ,Book,Afrikaans
vraag ,Question,Afrikaans
pad ,Way,Afrikaans
groep ,Group,Afrikaans
lig,Light,Afrikaans
lid ,Member,Afrikaans
dood ,Death,Afrikaans
diens,Service,Afrikaans
kos ,Food,Afrikaans
persoon ,Person,Afrikaans
manier,Manner,Afrikaans
staat ,State,Afrikaans
seun ,Son,Afrikaans
vorm,Form,Afrikaans
lewer,Liver,Afrikaans
liefde ,Love,Afrikaans
gemeenskap ,A community,Afrikaans
wet ,Law,Afrikaans
einde ,End,Afrikaans
dorp ,Town,Afrikaans
polisie ,Police,Afrikaans
oog ,Eye,Afrikaans
produk ,Product,Afrikaans
gees ,Spirit,Afrikaans
prys ,Price,Afrikaans
antwoord,Answer,Afrikaans
hoof,Head,Afrikaans
proses ,Process,Afrikaans
universiteit ,University,Afrikaans
mark ,Market,Afrikaans
bedryf ,Industry,Afrikaans
artikel ,Article,Afrikaans
aarde ,Earth,Afrikaans
krag ,Force,Afrikaans
vlak ,Level,Afrikaans
naweek ,Weekend,Afrikaans
eerste ,First,Afrikaans
groot ,Big,Afrikaans
lank ,Tall,Afrikaans
eie,Own,Afrikaans
belangrik ,Important,Afrikaans
verlede ,Past,Afrikaans
moontlik ,Possible,Afrikaans
bekend ,Known,Afrikaans
ver ,Far,Afrikaans
nasionaal,National,Afrikaans
tweede ,Second,Afrikaans
klein ,Small,Afrikaans
vroeg,Early,Afrikaans
maklik ,Easy,Afrikaans
lekker,Delicious,Afrikaans
vinnig ,Quick,Afrikaans
swart ,Black,Afrikaans
wit ,White,Afrikaans
jaarliks ,Annual,Afrikaans
spesiaal ,Special,Afrikaans
heilig ,Holy,Afrikaans
gelukkig ,Happy,Afrikaans
persoonlik ,Personal,Afrikaans
enkel ,Single,Afrikaans
eenvoudig ,Simple,Afrikaans
pragtig ,Beautiful,Afrikaans
positief ,Positive,Afrikaans
ongelukkig ,Unfortunate,Afrikaans
daagliks ,Daily,Afrikaans
